LOINC #,Long Common Name,Short Name,CLASS,Rank
41222-1,Yeast [Presence] in Body fluid by Light microscopy,Yeast Fld Ql Micro,MICRO,1149
38505-4,Thyroglobulin recovery in Serum or Plasma,Thyroglob Recovery MFr SerPl,Chem,1150
16135-6,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum,B2 Glycoprot1 IgG Ser-aCnc,SERO,1151
44448-9,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum by Immunoassay,B2 Glycoprot1 IgG SerPl IA-aCnc,SERO,1152
6076-4,Clam IgE Ab [Units/volume] in Serum,Clam IgE Qn,Allergy,1153
593-4,Legionella sp identified in Unspecified specimen by Organism specific culture,Legionella XXX Cult,MICRO,1154
33437-5,Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor,pO2 BldC TcO2,Chem,1155
48683-7,Streptococcus agalactiae DNA [Presence] in Unspecified specimen by Probe & target amplification method,Gp B Strep DNA XXX Ql PCR,MICRO,1156
20574-0,Histoplasma capsulatum yeast phase Ab [Titer] in Serum by Complement fixation,H capsul Yst Ab Titr Ser CF,MICRO,1157
49539-0,Cytomegalovirus IgM Ab [Presence] in Serum by Immunofluorescence,CMV IgM Ser Ql IF,MICRO,1158
33721-2,Bone marrow Pathology biopsy report,,ATTACH.CLINRPT,1159
5127-6,Cytomegalovirus IgM Ab [Titer] in Serum by Immunofluorescence,CMV IgM Titr Ser IF,MICRO,1160
33773-3,Karyotype [Identifier] in Amniotic fluid Nominal,Karyotyp Amn,MOLPATH,1161
49051-6,Gestational age in weeks,GA (weeks),OB.US,1162
7789-1,Acanthocytes [Presence] in Blood by Light microscopy,Acanthocytes Bld Ql Smear,HEM/BC,1163
8338-6,Body weight Measured --ante partum,Weight ante partum Measured,BDYWGT.MOLEC,1164
5117-7,Cryoglobulin [Presence] in Serum,Cryoglob Ser Ql,Chem,1165
2752-4,pH of Semen,pH Smn,Chem,1166
15359-3,dRVVT actual/?normal (normalized LA screen),Screen dRVVT/normal,COAG,1167
2077-6,Chloride [Moles/volume] in Sweat,Chloride Sweat-sCnc,Chem,1168
2077-6,Chloride [Moles/volume] in Sweat,Chloride Sweat-sCnc,Chem,1168
41499-5,Legionella pneumophila 1 Ag [Presence] in Urine by Immunoassay,L pneumo1 Ag Ur Ql IA,MICRO,1169
3141-9,Body weight Measured,Weight Measured,BDYWGT.ATOM,1170
5348-8,SCL-70 extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA Scl70 Ab Ser Ql IA,SERO,1171
15761-0,Sweetgum IgE Ab RAST class in Serum,Sweet gum IgE RAST Ql,Allergy,1172
2615-3,Methemoglobin/Hemoglobin.total in Arterial blood,MetHgb MFr BldA,Chem,1173
5053-4,Aspergillus sp Ab [Titer] in Serum by Complement fixation,Aspergillus Ab Titr Ser CF,MICRO,1174
33247-8,Weight of Sweat,Specimen wt Sweat Qn,SPEC,1175
5183-9,Hepatitis A virus Ab [Units/volume] in Serum by Immunoassay,HAV Ab SerPl IA-aCnc,MICRO,1176
29893-5,HIV 1 Ab [Presence] in Serum by Immunoassay,HIV1 Ab SerPl Ql IA,MICRO,1177
20465-1,Choriogonadotropin [Multiple of the median] in Serum or Plasma,HCG MoM SerPl,Chem,1178
20466-9,Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma,u Estriol MoM SerPl,Chem,1179
38404-0,CFTR gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,CFTR Mut Anal Bld/T,MOLPATH.MUT,1180
27923-2,Ubiquinone 10 [Mass/volume] in Serum or Plasma,Ubiquinone10 SerPl-mCnc,Chem,1181
26512-4,Neutrophils/100 leukocytes in Cerebral spinal fluid,Neutrophils/leuk NFr CSF,HEM/BC,1182
48039-2,Fibronectin.fetal [Presence] in Unspecified specimen,Fibronectin Fetal XXX Ql,Chem,1183
5631-7,Copper [Mass/volume] in Serum or Plasma,Copper SerPl-mCnc,DRUG/TOX,1184
5880-0,Rotavirus Ag [Presence] in Stool by Immunoassay,RV Ag Stl Ql IA,MICRO,1185
2671-6,Normetanephrine [Mass/time] in 24 hour Urine,Normetanephrine 24h Ur-mRate,Chem,1186
1924-0,Base deficit in Venous blood,Base deficit BldV-sCnc,Chem,1187
49573-9,HIV genotype [Susceptibility] in Isolate by Genotype method Narrative,HIV Gentyp Islt Nar,ABXBACT,1188
15191-0,Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma,LA Nt dPL PPP Ql,COAG,1189
5356-1,Smith extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA SM Ab Ser Ql IA,SERO,1190
23761-0,Neutrophils/100 leukocytes in Blood by Manual count,Neutrophils/leuk NFr Bld Manual,HEM/BC,1191
5297-7,Rheumatoid factor [Presence] in Serum by Latex agglutination,Rheumatoid fact Ser Ql LA,SERO,1192
5301-7,Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA RNP Ab Ser Ql IA,SERO,1193
9783-2,Ehrlichia chaffeensis IgG Ab [Titer] in Serum,E chaffeensis IgG Titr Ser,MICRO,1194
25156-1,Eosinophils [Presence] in Urine sediment by Light microscopy,Eosinophil UrnS Ql Micro,UA,1195
19839-0,Breath rate spontaneous --on ventilator,Breaths.spontaneous on vent,PULM,1196
2778-9,Phosphate [Mass/volume] in Urine,Phosphate Ur-mCnc,Chem,1197
13988-1,Beta globulin/Protein.total in 24 hour Urine by Electrophoresis,B-Globulin 24h MFr Ur Elph,Chem,1198
4621-9,Hemoglobin S [Presence] in Blood,Hgb S Bld Ql,HEM/BC,1199
26471-3,Leukocytes other/100 leukocytes in Blood,WBC Other/leuk NFr Bld,HEM/BC,1200
46082-4,Influenza virus A Ag [Presence] in Nasopharynx by Immunoassay,FLUAV Ag Nph Ql IA,MICRO,1201
46083-2,Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay,FLUBV Ag Nph Ql IA,MICRO,1202
2357-2,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells,G6PD RBC-cCnc,Chem,1203
28645-0,Carbon dioxide [Partial pressure] in Venous cord blood,pCO2 BldCoV,Chem,1204
2900-9,Pyridoxine (Vitamin B6) [Mass/volume] in Serum or Plasma,Vit B6 SerPl-mCnc,Chem,1205
5809-9,Reducing substances [Presence] in Urine,Reducing Subs Ur Ql,UA,1206
28649-2,Oxygen [Partial pressure] in Venous cord blood,pO2 BldCoV,Chem,1207
6825-4,Crystals [type] in Body fluid by Light microscopy,Crystals Fld Micro,HEM/BC,1208
20458-6,Rubella virus IgG Ab [interpretation] in Serum,RUBV IgG Ser-Imp,MICRO,1209
27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method    *NOTE: enzymatic method,Prot C Act/Nor PPP Chro,COAG,1210
7691-9,Scallop IgE Ab [Units/volume] in Serum,Scallop IgE Qn,Allergy,1211
20474-3,Bacteria identified in Tissue by Biopsy culture,Bacteria Tiss Bx Cult,MICRO,1212
28641-9,Bicarbonate [Moles/volume] in Venous cord blood,HCO3 BldCoV-sCnc,Chem,1213
12234-1,Mesothelial cells/100 leukocytes in Body fluid by Manual count,Mesothl Cell/leuk NFr Fld Manual,HEM/BC,1214
23877-4,Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence,A phagocytoph IgG Titr Ser IF,MICRO,1215
28644-3,Carbon dioxide [Partial pressure] in Arterial cord blood,pCO2 BldCoA,Chem,1216
2956-1,Sodium [Moles/time] in 24 hour Urine,Sodium 24h Ur-sRate,Chem,1217
28648-4,Oxygen [Partial pressure] in Arterial cord blood,pO2 BldCoA,Chem,1218
14252-1,Smooth muscle Ab [Presence] in Serum,Smooth muscle Ab Ser Ql,SERO,1219
21108-6,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum,B2 Glycoprot1 IgA Ser-aCnc,SERO,1220
44447-1,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum by Immunoassay,B2 Glycoprot1 IgA SerPl IA-aCnc,SERO,1221
9784-0,Ehrlichia chaffeensis IgM Ab [Titer] in Serum,E chaffeensis IgM Titr Ser,MICRO,1222
49701-6,pH of Blood adjusted to patients actual temperature,pH temp adj Bld,Chem,1223
6891-6,Testosterone.bioavailable/Testosterone.total in Serum or Plasma,Testosterone.free+WB MFr SerPl,Chem,1224
11261-5,Bacteria identified in Vaginal fluid by Aerobe culture,Bacteria Vag Aerobe Cult,MICRO,1225
23878-2,Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence,A phagocytoph IgM Titr Ser IF,MICRO,1226
2112-1,Choriogonadotropin.beta subunit (Pregnancy test) [Presence] in Urine,B-HCG Preg Ur Ql,Chem,1227
49047-4,Globulin [Mass/volume] in Urine by Electrophoresis,Globulin Ur Elph-mCnc,Chem,1228
28640-1,Bicarbonate [Moles/volume] in Arterial cord blood,HCO3 BldCoA-sCnc,Chem,1229
1527-1,Glucose [Mass/volume] in Serum or Plasma --30 minutes post 75 g glucose PO,Glucose 30M p 75 g Glc PO SerPl-mCnc,CHAL,1230
10912-4,Lead [Mass/volume] in Serum or Plasma,Lead SerPl-mCnc,DRUG/TOX,1231
57804-7,Number of occult blood specimens recommended by testing kit protocol [#] in Stool,# Occ bld spec recommended Stl,Chem,1232
32207-3,Platelet distribution width [Entitic volume] in Blood by Automated count,PDW Bld Auto,HEM/BC,1233
12190-5,Creatinine [Mass/volume] in Body fluid,Creat Fld-mCnc,Chem,1234
3174-0,Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method,AT III PPP Chro-aCnc,COAG,1235
33393-0,Coarse Granular Casts [#/area] in Urine sediment by Microscopy low power field,Coarse Gran Casts #/area UrnS LPF,UA,1236
9490-4,Aspergillus flavus Ab [Presence] in Serum,A flavus Ab Ser Ql,MICRO,1237
26447-3,Blasts/100 leukocytes in Cerebral spinal fluid,Blasts/leuk NFr CSF,HEM/BC,1238
8095-2,Smooth muscle Ab [Titer] in Serum,Smooth muscle Ab Titr Ser,SERO,1239
2232-7,Epinephrine [Mass/time] in 24 hour Urine,Epineph 24h Ur-mRate,Chem,1240
6136-6,Hazelnut IgE Ab [Units/volume] in Serum,Hazelnut IgE Qn,Allergy,1241
9660-2,HIV 1 gp160 Ab [Presence] in Serum by Immunoblot (IB),HIV1 gp160 Ab Ser Ql IB,MICRO,1242
2873-8,Gamma globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,Gamma glob CSF Elph-mCnc,Chem,1243
9668-5,HIV 1 p55 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p55 Ab Ser Ql IB,MICRO,1244
9667-7,HIV 1 p51 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p51 Ab Ser Ql IB,MICRO,1245
24469-9,Hemoglobin XXX/Hemoglobin.total in Blood by Electrophoresis,Hgb XXX MFr Bld Elph,HEM/BC,1246
771-6,Nucleated erythrocytes [#/volume] in Blood by Automated count,nRBC # Bld Auto,HEM/BC,1247
9664-4,HIV 1 p24 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p24 Ab Ser Ql IB,MICRO,1248
9661-0,HIV 1 gp120 Ab [Presence] in Serum by Immunoblot (IB),HIV1 gp120 Ab Ser Ql IB,MICRO,1249
9666-9,HIV 1 p31 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p31 Ab Ser Ql IB,MICRO,1250
11070-0,Microscopic observation [Identifier] in Urine by Cyto stain,Cyto Ur,CYTO,1251
6687-8,Citrate [Mass/time] in 24 hour Urine,Citrate 24h Ur-mRate,Chem,1252
1854-9,Androstenedione [Mass/volume] in Serum or Plasma,Androst SerPl-mCnc,Chem,1253
13993-1,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Alpha2 Glob MFr Ur Elph,Chem,1254
5785-1,Eosinophils [#/area] in Urine sediment by Microscopy high power field,Eosinophil #/area UrnS HPF,UA,1255
13995-6,Gamma globulin/Protein.total in Urine by Electrophoresis,Gamma glob MFr Ur Elph,Chem,1256
2668-2,Norepinephrine [Mass/time] in 24 hour Urine,Norepineph 24h Ur-mRate,Chem,1257
5354-6,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),ENA SS-B Ab Ser Ql ID,SERO,1258
85991-8,Streptococcus pneumoniae Danish serotype 14 IgG Ab [Mass/volume] in Serum,S pneum Da 14 IgG Ser-mCnc,MICRO,1259
85992-6,Streptococcus pneumoniae Danish serotype 14 IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 14 IgG Ser IA-mCnc,MICRO,1260
1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,Apo A-I SerPl-mCnc,Chem,1261
33332-8,Linezolid [Susceptibility] by Gradient strip,Linezolid Islt Grad strip,ABXBACT,1262
5352-0,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),ENA SS-A Ab Ser Ql ID,SERO,1263
2640-1,Myoglobin [Presence] in Urine,Myoglobin Ur Ql,Chem,1264
2998-3,Thiamine [Mass/volume] in Blood,Vit B1 Bld-mCnc,Chem,1265
38544-3,Spermatozoa [#/volume] in Semen --pre washing,Sperm Pre Wash # Smn,FERT,1266
38540-1,Spermatozoa Motile/100 spermatozoa in Semen --pre washing,Sperm Motile Pre Wash NFr Smn,FERT,1267
3746-5,Meperidine [Presence] in Urine,Meperidine Ur Ql,DRUG/TOX,1268
12195-4,Creatinine renal clearance/1.73 sq M in 24 hour Urine,Creat Cl/1.73 sq M 24h Ur+SerPl-ArVRat,Chem,1269
2218-6,Dopamine [Mass/time] in 24 hour Urine,Dopamine 24h Ur-mRate,Chem,1270
19049-6,Metanephrine [Mass/time] in 24 hour Urine,Metaneph 24h Ur-mRate,Chem,1271
28643-5,Oxygen saturation (SO2) in Venous cord blood,SaO2 % BldCoV,Chem,1272
5057-5,Blastomyces dermatitidis Ab [Titer] in Serum by Complement fixation,B dermat Ab Titr Ser CF,MICRO,1273
6092-1,Crab IgE Ab [Units/volume] in Serum,Crab IgE Qn,Allergy,1274
13926-1,Glutamate decarboxylase 65 Ab [Units/volume] in Serum,GAD65 Ab Ser-aCnc,SERO,1275
2513-0,Ketones [Presence] in Serum or Plasma,Ketones SerPl Ql,Chem,1276
2518-9,Lactate [Moles/volume] in Arterial blood,Lactate BldA-sCnc,Chem,1277
6007-9,Protein C [Units/volume] in Platelet poor plasma by Coagulation assay,Prot C PPP-aCnc,COAG,1278
14708-2,Endomysium Ab [Titer] in Serum,Endomysium Ab Titr Ser,SERO,1279
7984-8,Parvovirus B19 IgM Ab [Units/volume] in Serum,B19V IgM Ser-aCnc,MICRO,1280
11039-5,C reactive protein [Presence] in Serum or Plasma,CRP SerPl Ql,Chem,1281
32680-1,Fine Granular Casts [#/area] in Urine sediment by Microscopy low power field,Fine Gran Casts #/area UrnS LPF,UA,1282
30340-4,Epstein Barr virus capsid IgM Ab [Presence] in Serum,EBV VCA IgM Ser Ql,MICRO,1283
24115-8,Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay,EBV VCA IgM Ser Ql IA,MICRO,1284
28642-7,Oxygen saturation (SO2) in Arterial cord blood,SaO2 % BldCoA,Chem,1285
25489-6,Normetanephrine [Moles/volume] in Serum or Plasma,Normetanephrine SerPl-sCnc,Chem,1286
19942-2,Oxygen gas flow setting Oxymizer,Gas flow.O2 setting Oxymiser,PULM,1287
18319-4,Neutrophils.vacuolated [Presence] in Blood by Light microscopy,Neuts Vac Bld Ql Smear,HEM/BC,1288
15530-9,Alternaria alternata IgE Ab RAST class in Serum,A alternata IgE RAST Ql,Allergy,1289
3256-5,Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunologic method,Fibrinogen Ag PPP IA-mCnc,COAG,1290
35789-7,Daptomycin [Susceptibility],Daptomycin Susc Islt,ABXBACT,1291
21365-2,Leptin [Mass/volume] in Serum or Plasma,Leptin SerPl-mCnc,Chem,1292
21441-1,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by DNA probe,HPV Low Risk DNA Cvx Ql Prb,MICRO,1293
14956-7,Microalbumin [Mass/time] in 24 hour Urine,Microalbumin 24h Ur-mRate,Chem,1294
3087-4,Urate [Mass/time] in 24 hour Urine,Urate 24h Ur-mRate,Chem,1295
5863-6,Influenza virus A Ag [Presence] in Unspecified specimen by Immunofluorescence,FLUAV Ag XXX Ql IF,MICRO,1296
34524-9,Neutrophils.band form [Presence] in Blood by Automated count,Neuts Band Bld Ql Auto,HEM/BC,1297
23841-0,Choriogonadotropin.beta subunit [Multiple of the median] adjusted in Serum or Plasma,B-HCG adj MoM SerPl,Chem,1298
1857-2,Angiotensin converting enzyme [Enzymatic activity/volume] in Blood,ACE Bld-cCnc,Chem,1299
31797-4,Cytomegalovirus Ag [Presence] in Unspecified specimen,CMV Ag XXX Ql,MICRO,1300
6379-2,Cytomegalovirus Ag [Presence] in Unspecified specimen by Immunoassay,CMV Ag XXX Ql IA,MICRO,1301
16264-4,Calcium oxalate monohydrate crystals [Presence] in Stone by Infrared spectroscopy,COM Cry Stone Ql IR,Chem,1302
49542-4,Date and time of pheresis procedure,Date+time Pheresis,BLDBK,1303
30339-6,Epstein Barr virus capsid IgG Ab [Presence] in Serum,EBV VCA IgG Ser Ql,MICRO,1304
24114-1,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay,EBV VCA IgG Ser Ql IA,MICRO,1305
32554-8,Thiamine [Moles/volume] in Blood,Vit B1 Bld-sCnc,Chem,1306
14316-4,Benzodiazepines [Presence] in Urine by Screen method,Benzodiaz Ur Ql Scn,DRUG/TOX,1307
9796-4,Color of Stone,Color Stone,SPEC,1308
9802-0,Size [Entitic volume] of Stone,Size Stone,PATH,1309
2428-1,Homocysteine [Mass/volume] in Serum or Plasma,Hcys SerPl-mCnc,Chem,1310
35538-8,Baker's yeast IgG Ab [Mass/volume] in Serum,Baker's yeast IgG-mCnc,Allergy,1311
48050-9,Neutrophils [Presence] in Stool by Wright stain,Neutrophils Stl Ql Wright Stn,HEM/BC,1312
20593-0,CD19 cells/100 cells in Unspecified specimen,CD19 Cells NFr XXX,CELLMARK,1313
5685-3,Mercury [Mass/volume] in Blood,Mercury Bld-mCnc,DRUG/TOX,1314
2605-4,Meat fibers [Presence] in Stool by Light microscopy,Meat Fibers Stl Ql Micro,Chem,1315
730-2,Leukocytes other/100 leukocytes in Blood by Manual count,WBC Other/leuk NFr Bld Manual,HEM/BC,1316
8249-5,Transitional cells [Presence] in Urine sediment by Light microscopy,Trans Cells UrnS Ql Micro,UA,1317
30427-9,Macrophages/100 leukocytes in Body fluid,Macrophages/leuk NFr Fld,HEM/BC,1318
19835-8,Breath rate setting Ventilator synchronized intermittent mandatory,Breaths setting SIMV,PULM,1319
27395-3,Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum,S pneum Da 18C IgG Ser-mCnc,MICRO,1320
40913-6,Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 18C IgG Ser IA-mCnc,MICRO,1321
15212-4,Lipase [Enzymatic activity/volume] in Body fluid,Lipase Fld-cCnc,Chem,1322
3507-1,Codeine [Presence] in Urine,Codeine Ur Ql,DRUG/TOX,1323
86024-7,Streptococcus pneumoniae Danish serotype 19F IgG Ab [Mass/volume] in Serum,S pneum Da sero 19F IgG Ser-mCnc,MICRO,1324
86021-3,Streptococcus pneumoniae Danish serotype 19F IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da sero 19F IgG Ser IA-mCnc,MICRO,1325
86064-3,Streptococcus pneumoniae Danish serotype 23F IgG Ab [Mass/volume] in Serum,S pneum Da 23F IgG Ser-mCnc,MICRO,1326
86061-9,Streptococcus pneumoniae Danish serotype 23F IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 23F IgG Ser IA-mCnc,MICRO,1327
86107-0,Streptococcus pneumoniae Danish serotype 4 IgG Ab [Mass/volume] in Serum,S pneum Da 4 IgG Ser-mCnc,MICRO,1328
86108-8,Streptococcus pneumoniae Danish serotype 4 IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 4 IgG Ser IA-mCnc,MICRO,1329
4575-7,Hemoglobin E/Hemoglobin.total in Blood,Hgb E MFr Bld,HEM/BC,1330
30153-1,Streptococcus pneumoniae Danish serotype 9V IgG Ab [Mass/volume] in Serum,S pneum Da 9V IgG Ser-mCnc,MICRO,1331
40926-8,Streptococcus pneumoniae Danish serotype 9V IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 9V IgG Ser IA-mCnc,MICRO,1332
35127-0,Hemoglobin A2.prime/Hemoglobin.total in Blood ,Hgb A2.prime MFr Bld,HEM/BC,1333
31156-3,Hemoglobin Barts/Hemoglobin.total in Blood,Hgb Barts MFr Bld,HEM/BC,1334
4569-0,Hemoglobin D/Hemoglobin.total in Blood,Hgb D MFr Bld,HEM/BC,1335
33593-5,Hemoglobin G - Coushatta/Hemoglobin.total in Blood,Hgb G-Coush MFr Bld,HEM/BC,1336
35125-4,Hemoglobin Lepore/Hemoglobin.total in Blood,Hgb Lepore MFr Bld,HEM/BC,1337
35126-2,Hemoglobin O - Arab/Hemoglobin.total in Blood,Hgb O-Arab MFr Bld,HEM/BC,1338
13986-5,Albumin/Protein.total in 24 hour Urine by Electrophoresis,Albumin 24h MFr Ur Elph,Chem,1339
6165-5,Lobster IgE Ab [Units/volume] in Serum,Lobster IgE Qn,Allergy,1340
21709-1,MTHFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MTHFR gene Mut Anal Bld/T,MOLPATH.MUT,1341
29573-3,Phenylalanine [Moles/volume] in Dried blood spot,Phe DBS-sCnc,Chem,1342
35572-7,Phenylalanine/Tyrosine [Molar ratio] in Dried blood spot,Phe/Tyr DBS-sRto,Chem,1343
2609-6,Metanephrines [Mass/time] in 24 hour Urine,MetanephS 24h Ur-mRate,Chem,1344
35571-9,Tyrosine [Moles/volume] in Dried blood spot,Tyrosine DBS-sCnc,Chem,1345
13984-0,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha1 Glob 24h MFr Ur Elph,Chem,1346
38415-6,MTHFR gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,MTHFR gene Mut Anal Bld/T,MOLPATH.MUT,1347
42484-6,Protein.monoclonal/Protein.total in 24 hour Urine by Electrophoresis,M Protein 24h MFr Ur Elph,Chem,1348
10863-9,Endomysium IgA Ab [Titer] in Serum,Endomysium IgA Titr Ser,SERO,1349
3830-7,Morphine [Presence] in Urine,Morphine Ur Ql,DRUG/TOX,1350
3122-9,Vanillylmandelate [Mass/time] in 24 hour Urine,VMA 24h Ur-mRate,Chem,1351
5693-7,Methanol [Mass/volume] in Serum or Plasma,Methanol SerPl-mCnc,DRUG/TOX,1352
13499-9,HIV 1 Ab band pattern [interpretation] in Serum by Immunoblot (IB),HIV1 Ab Patrn Ser IB-Imp,MICRO,1353
49540-8,Acid citrate dextrose [Volume] in Blood product unit,Acid citrate dextrose Vol BPU,BLDBK,1354
5292-8,Reagin Ab [Presence] in Serum by VDRL,VDRL Ser Ql,MICRO,1355
31102-7,Protein S actual/normal in Platelet poor plasma by Chromogenic method    *NOTE: enzymatic method,Prot S Act/Nor PPP Chro,COAG,1356
25157-9,Epithelial casts [Presence] in Urine sediment by Light microscopy,Epith Casts UrnS Ql Micro,UA,1357
33333-6,Colistin [Susceptibility] by Gradient strip,Colistin Islt Grad strip,ABXBACT,1358
35675-8,Calcium [Mass/volume] in unspecified time Urine,Calcium ?Tm Ur-mCnc,Chem,1359
588-4,Legionella pneumophila Ag [Presence] in Unspecified specimen by Immunofluorescence,L pneumo Ag XXX Ql IF,MICRO,1360
8150-5,Amphetamines [Mass/volume] in Urine,Amphetamines Ur-mCnc,DRUG/TOX,1361
10449-7,Glucose [Mass/volume] in Serum or Plasma --1 hour post meal,Glucose 1h p meal SerPl-mCnc,CHAL,1362
17607-3,Volume of Cerebral spinal fluid,Specimen vol CSF,SPEC,1363
43583-4,Lipoprotein a [Moles/volume] in Serum or Plasma,LPa SerPl-sCnc,Chem,1364
9426-8,Barbiturates [Mass/volume] in Urine,Barbiturates Ur-mCnc,DRUG/TOX,1365
10704-5,Ova and parasites identified in Stool by Light microscopy,O+P Stl Micro,MICRO,1366
9428-4,Benzodiazepines [Mass/volume] in Urine,Benzodiaz Ur-mCnc,DRUG/TOX,1367
31032-6,Baker's yeast IgA Ab [Units/volume] in Serum,Baker's yeast IgA Qn,Allergy,1368
47320-7,Baker's yeast IgA Ab [Units/volume] in Serum by Immunoassay,Baker's yeast IgA Qn IA,ALLERGY,1369
22086-3,Aspergillus niger Ab [Presence] in Serum,A niger Ab Ser Ql,MICRO,1370
6164-8,Virginia Live Oak IgE Ab [Units/volume] in Serum,Virg Live Oak IgE Qn,Allergy,1371
33915-0,Anabasine [Mass/volume] in Urine,Anabasine Ur-mCnc,DRUG/TOX,1372
13358-7,Collection time of Semen,Collect Tme Smn,SPEC,1373
2837-3,Pregnenolone [Mass/volume] in Serum or Plasma,Preg SerPl-mCnc,Chem,1374
34519-9,HFE gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,HFE gene Mut Anal Bld/T,MOLPATH.MUT,1375
28545-2,Mucus [#/area] in Urine sediment by Microscopy low power field,Mucous Threads #/area UrnS LPF,UA,1376
6113-5,Gum-Tree IgE Ab [Units/volume] in Serum,Gum-Tree IgE Qn,Allergy,1377
27118-9,Streptococcus pneumoniae Danish serotype 6B IgG Ab [Mass/volume] in Serum,S pneum Da 6B IgG Ser-mCnc,MICRO,1378
40905-2,Streptococcus pneumoniae Danish serotype 6B IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 6B IgG Ser IA-mCnc,MICRO,1379
12856-1,HIV 1 p65 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p65 Ab Ser Ql IB,MICRO,1380
19077-7,Cells identified in Body fluid,Cells Fld,HEM/BC,1381
86080-9,Streptococcus pneumoniae Danish serotype 3 IgG Ab [Mass/volume] in Serum,S pneum Da 3 IgG Ser-mCnc,MICRO,1382
86081-7,Streptococcus pneumoniae Danish serotype 3 IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 3 IgG Ser IA-mCnc,MICRO,1383
25296-5,Streptococcus pneumoniae Danish serotype 7F IgG Ab [Mass/volume] in Serum,S pneum Da 7F IgG Ser-mCnc,MICRO,1384
40911-0,Streptococcus pneumoniae Danish serotype 7F IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 7F IgG Ser IA-mCnc,MICRO,1385
86147-6,Streptococcus pneumoniae Danish serotype 8 IgG Ab [Mass/volume] in Serum,S pneum Da 8 IgG Ser-mCnc,MICRO,1386
86148-4,Streptococcus pneumoniae Danish serotype 8 IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 8 IgG Ser IA-mCnc,MICRO,1387
86169-0,Streptococcus pneumoniae Danish serotype 9N IgG Ab [Mass/volume] in Serum,S pneum Da 9N IgG Ser-mCnc,MICRO,1388
86166-6,Streptococcus pneumoniae Danish serotype 9N IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 9N IgG Ser IA-mCnc,MICRO,1389
15048-2,Creatine kinase.BB/Creatine kinase.total in Serum or Plasma by Electrophoresis,CK BB CFr SerPl Elph,Chem,1390
12187-1,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis,CK MB CFr SerPl Elph,Chem,1391
15049-0,Creatine kinase.MM/Creatine kinase.total in Serum or Plasma by Electrophoresis,CK MM CFr SerPl Elph,Chem,1392
9662-8,HIV 1 gp41 Ab [Presence] in Serum by Immunoblot (IB),HIV1 gp41 Ab Ser Ql IB,MICRO,1393
